State,Season,Soil_Type,Crop,Rainfall_mm,Temperature_C,Humidity_pct,pH,Area_ha,N_kg_ha,P_kg_ha,K_kg_ha,Fertilizer,Irrigation,Yield_kg_ha
Madhya Pradesh,Kharif,Loamy,Barley,691.9,19.5,92.6,8.17,11.35,147.7,66.5,76.6,Urea,Drip,2927.8
Tamil Nadu,Rabi,Sandy,Wheat,369.9,18.9,56.3,7.02,1.73,136.8,74.6,18.8,Organic,Sprinkler,5785.4
Uttar Pradesh,Kharif,Red,Rice,1105.4,28.6,40.8,5.89,15.38,116.6,22.0,58.9,Organic,Rain-fed,2906.7
Punjab,Kharif,Red,Mustard,234.7,14.7,41.0,7.99,6.97,102.8,57.1,72.5,NPK,Sprinkler,1198.9
West Bengal,Zaid,Sandy,Wheat,365.6,21.3,87.2,6.53,6.09,42.8,24.3,64.8,Organic,Drip,4360.2
Andhra Pradesh,Rabi,Alluvial,Barley,664.4,16.0,53.6,6.69,19.2,53.8,49.8,66.8,Organic,Sprinkler,1819.8
Tamil Nadu,Kharif,Clay,Sugarcane,1667.4,34.2,80.7,7.96,10.03,93.0,31.6,28.3,DAP,Flood,118988.5
Karnataka,Zaid,Alluvial,Cotton,965.8,26.1,42.7,6.35,18.79,106.2,48.3,23.0,Organic,Flood,351.3
Madhya Pradesh,Zaid,Black,Cotton,567.2,27.9,67.8,6.45,6.14,26.1,59.2,47.7,Potash,Flood,833.3
Andhra Pradesh,Rabi,Clay,Sugarcane,1908.7,31.5,57.7,6.43,14.05,66.0,53.4,31.9,DAP,Drip,158100.6
Haryana,Rabi,Clay,Jowar,745.7,25.2,69.6,6.93,16.28,41.8,21.0,67.2,NPK,Rain-fed,1291.1
Punjab,Zaid,Black,Soybean,622.7,23.4,48.2,7.47,8.29,72.8,36.8,73.3,Organic,Drip,2069.4
Uttar Pradesh,Kharif,Sandy,Maize,752.2,29.4,49.5,5.9,19.01,21.0,25.9,29.5,Compost,Flood,4490.3
Tamil Nadu,Kharif,Clay,Rice,1411.5,25.8,90.6,7.72,9.09,113.4,28.7,22.3,DAP,Flood,4841.9
Haryana,Kharif,Alluvial,Jowar,432.8,30.0,87.1,8.33,12.47,117.6,64.7,25.1,Urea,Flood,1591.4
Punjab,Rabi,Red,Jowar,864.9,23.5,87.8,5.65,6.72,127.6,21.7,75.9,Potash,Flood,894.3
Karnataka,Kharif,Alluvial,Soybean,604.0,28.8,67.0,7.85,2.4,87.0,64.5,33.4,NPK,Flood,2776.6
Andhra Pradesh,Kharif,Sandy,Rice,1526.6,31.4,77.0,7.54,11.93,126.2,28.1,53.8,Organic,Flood,3343.8
Tamil Nadu,Rabi,Sandy,Groundnut,688.7,29.3,88.6,8.12,4.32,49.0,72.8,10.2,DAP,Flood,1388.3
Haryana,Zaid,Clay,Barley,511.0,13.3,59.9,6.02,18.57,54.0,27.2,51.0,Organic,Sprinkler,4296.9
Punjab,Zaid,Alluvial,Soybean,936.8,21.7,90.7,7.29,17.69,49.7,32.2,64.1,Compost,Drip,1948.3
Maharashtra,Zaid,Red,Rice,1875.6,33.9,48.7,7.33,18.87,142.0,30.4,20.6,Potash,Flood,2770.8
Madhya Pradesh,Rabi,Loamy,Mustard,518.6,15.3,54.7,6.64,0.76,130.7,12.0,53.0,DAP,Sprinkler,1980.4
Punjab,Kharif,Alluvial,Rice,1996.2,22.8,89.3,7.52,3.94,109.1,42.8,46.6,Organic,Rain-fed,2409.7
West Bengal,Zaid,Clay,Cotton,1005.4,36.6,89.4,6.0,14.76,138.2,10.6,40.4,NPK,Flood,361.1
Rajasthan,Rabi,Alluvial,Rice,1353.4,30.1,42.4,6.43,15.51,105.1,57.7,25.9,Urea,Flood,3157.2
Uttar Pradesh,Zaid,Sandy,Jowar,893.0,26.0,93.2,8.13,17.56,22.3,40.8,45.8,Potash,Sprinkler,2198.5
Andhra Pradesh,Kharif,Black,Jowar,749.9,31.7,71.8,6.32,18.26,54.5,57.5,77.4,DAP,Flood,1813.1
Uttar Pradesh,Rabi,Loamy,Mustard,370.2,21.9,55.3,6.15,8.71,30.6,43.9,19.8,Organic,Rain-fed,1547.9
Madhya Pradesh,Zaid,Sandy,Jowar,850.7,29.6,40.3,5.92,2.08,117.6,64.4,64.2,Urea,Sprinkler,2320.0
Uttar Pradesh,Kharif,Black,Groundnut,411.0,34.3,83.3,6.02,0.98,72.5,22.2,69.9,Potash,Drip,1066.7
Haryana,Kharif,Red,Maize,538.8,25.5,43.1,7.98,7.55,97.7,15.7,14.1,Organic,Rain-fed,4321.0
Maharashtra,Kharif,Red,Sugarcane,1260.1,32.8,54.9,5.79,17.67,66.3,72.0,55.7,Potash,Drip,102694.0
Madhya Pradesh,Kharif,Black,Jowar,341.1,30.8,50.1,7.95,13.91,87.1,79.6,42.3,NPK,Drip,1983.1
Madhya Pradesh,Rabi,Black,Soybean,837.3,24.6,92.3,7.89,4.01,20.5,50.7,46.8,Potash,Drip,1221.5
Madhya Pradesh,Rabi,Loamy,Barley,669.6,17.1,49.6,6.64,12.62,112.5,21.6,52.0,Compost,Flood,3133.5
Haryana,Rabi,Alluvial,Sugarcane,2447.7,37.5,52.6,7.65,15.46,43.7,22.3,46.5,Potash,Rain-fed,99716.0
West Bengal,Zaid,Laterite,Maize,815.8,23.8,43.1,7.01,2.24,105.1,62.8,26.0,Organic,Flood,4042.0
Rajasthan,Zaid,Black,Groundnut,540.0,34.8,88.9,8.08,11.31,110.6,52.6,24.7,Compost,Flood,2287.0
Karnataka,Kharif,Black,Jowar,769.6,28.8,41.9,6.78,17.3,33.7,18.9,38.3,DAP,Sprinkler,1733.5
Andhra Pradesh,Rabi,Clay,Wheat,749.5,22.1,94.5,7.21,5.84,129.7,15.9,75.5,Potash,Rain-fed,3761.4
Rajasthan,Kharif,Alluvial,Maize,740.3,22.5,63.4,6.74,14.88,143.1,60.0,59.5,Urea,Sprinkler,3580.5
Uttar Pradesh,Zaid,Black,Cotton,1071.5,35.8,94.3,8.45,11.2,122.6,68.0,79.9,Potash,Flood,751.7
Karnataka,Zaid,Loamy,Mustard,561.4,13.3,57.4,5.67,6.73,140.3,17.1,67.2,NPK,Drip,2156.7
Maharashtra,Zaid,Alluvial,Cotton,1063.0,23.2,59.6,7.69,12.03,27.6,26.4,49.7,NPK,Sprinkler,937.0
Maharashtra,Kharif,Loamy,Maize,975.7,26.0,49.5,6.55,13.89,30.4,20.0,73.6,Potash,Rain-fed,1944.9
Tamil Nadu,Rabi,Clay,Groundnut,763.9,23.3,68.6,7.62,19.3,77.8,38.5,10.7,Compost,Drip,2242.8
Andhra Pradesh,Rabi,Black,Groundnut,749.2,26.9,76.3,7.81,12.89,50.7,77.6,25.9,NPK,Sprinkler,1249.3
Haryana,Zaid,Sandy,Groundnut,639.7,23.5,73.9,5.93,8.96,147.0,72.1,25.7,Compost,Sprinkler,1237.2
Karnataka,Rabi,Red,Sugarcane,1634.9,33.8,48.6,6.92,16.56,46.0,38.9,62.8,Compost,Sprinkler,63892.5
Tamil Nadu,Zaid,Black,Barley,221.8,16.9,42.7,6.01,17.17,136.6,56.6,41.3,Organic,Sprinkler,1761.5
Haryana,Zaid,Red,Soybean,824.7,29.2,48.0,7.06,0.81,68.0,54.2,16.3,NPK,Rain-fed,1514.1
Madhya Pradesh,Zaid,Sandy,Barley,491.6,18.9,62.9,5.88,1.32,135.9,20.1,65.4,Compost,Sprinkler,2441.4
Andhra Pradesh,Kharif,Clay,Jowar,571.5,29.0,43.8,6.44,13.1,89.5,29.8,17.0,Compost,Sprinkler,2134.4
Tamil Nadu,Zaid,Sandy,Barley,551.8,11.7,89.6,7.48,2.01,82.0,34.7,18.1,Potash,Rain-fed,3060.6
Rajasthan,Rabi,Clay,Sugarcane,2463.9,33.9,59.5,6.93,15.77,115.7,20.1,69.1,NPK,Flood,125951.1
Tamil Nadu,Kharif,Red,Sugarcane,2499.9,36.5,63.3,6.84,14.95,60.8,23.3,11.6,Organic,Drip,108172.7
Karnataka,Kharif,Loamy,Mustard,263.7,11.0,88.5,6.4,10.57,129.9,51.2,40.3,DAP,Flood,2325.7
Madhya Pradesh,Kharif,Loamy,Soybean,828.7,22.3,85.6,8.43,15.12,40.9,22.6,56.3,Compost,Rain-fed,1520.6
Uttar Pradesh,Kharif,Clay,Mustard,463.1,12.4,49.4,7.97,19.1,143.7,40.1,73.4,Urea,Sprinkler,1698.0
Punjab,Rabi,Black,Groundnut,430.2,30.8,91.6,6.18,7.77,47.1,54.7,42.0,DAP,Rain-fed,2187.2
Uttar Pradesh,Zaid,Laterite,Sugarcane,2185.9,36.7,72.2,6.02,12.73,44.4,54.3,38.2,DAP,Sprinkler,86132.9
Rajasthan,Zaid,Alluvial,Barley,492.9,8.0,58.3,6.83,2.89,71.5,71.8,12.5,DAP,Rain-fed,4479.7
Andhra Pradesh,Kharif,Sandy,Jowar,837.7,30.8,51.5,8.12,18.62,67.8,66.4,56.1,Urea,Rain-fed,1630.1
Uttar Pradesh,Rabi,Clay,Sugarcane,1514.4,32.6,48.2,7.71,15.25,20.7,34.6,10.4,DAP,Flood,88061.8
Punjab,Zaid,Red,Groundnut,848.1,34.8,53.1,5.53,14.92,65.1,35.7,15.7,Organic,Drip,2587.7
Punjab,Rabi,Black,Mustard,535.8,20.7,42.8,5.95,17.05,108.0,61.2,61.2,Compost,Drip,935.7
Punjab,Zaid,Alluvial,Mustard,301.3,23.7,90.1,5.97,17.64,41.8,56.5,71.2,Compost,Sprinkler,1684.1
Rajasthan,Kharif,Clay,Barley,208.4,10.5,65.8,6.41,4.22,121.3,34.6,48.3,Urea,Sprinkler,3416.1
Karnataka,Kharif,Laterite,Cotton,1105.4,28.8,73.6,7.59,6.02,97.4,59.5,71.0,Potash,Sprinkler,780.7
West Bengal,Zaid,Clay,Groundnut,400.0,23.9,45.3,5.84,5.32,56.6,71.6,41.0,Organic,Sprinkler,1590.9
Punjab,Rabi,Red,Jowar,484.0,34.8,63.6,5.64,14.33,27.1,39.4,51.1,Organic,Rain-fed,2076.8
Rajasthan,Zaid,Laterite,Cotton,758.6,32.0,45.9,6.37,9.68,101.1,76.4,14.8,Urea,Drip,861.6
Maharashtra,Rabi,Loamy,Cotton,573.9,26.5,67.6,7.12,9.44,26.5,53.5,65.9,Potash,Sprinkler,762.1
West Bengal,Zaid,Clay,Barley,377.9,9.4,91.9,8.37,2.22,136.9,23.1,58.5,Compost,Rain-fed,3220.3
West Bengal,Rabi,Alluvial,Mustard,202.5,19.3,66.3,6.85,1.69,51.8,30.8,54.9,DAP,Flood,1923.9
Uttar Pradesh,Zaid,Laterite,Barley,461.2,10.0,93.7,7.61,1.56,78.0,61.3,21.6,Organic,Sprinkler,3271.0
Haryana,Kharif,Loamy,Wheat,637.3,17.8,89.8,7.46,16.2,96.3,22.0,71.4,Potash,Drip,3532.0
Maharashtra,Zaid,Laterite,Soybean,1145.3,27.7,86.3,6.74,6.71,110.4,49.8,28.5,Potash,Sprinkler,1530.2
Punjab,Rabi,Alluvial,Jowar,359.1,27.4,86.3,7.2,13.59,70.5,36.8,52.0,Urea,Sprinkler,1528.9
Andhra Pradesh,Kharif,Loamy,Mustard,499.6,15.9,43.3,8.26,18.6,66.6,59.1,35.5,Potash,Drip,935.9
Haryana,Kharif,Alluvial,Groundnut,431.7,35.9,85.8,5.8,8.67,124.3,55.3,23.2,DAP,Drip,2432.8
West Bengal,Zaid,Clay,Groundnut,566.2,33.5,93.9,7.37,2.9,96.8,21.1,26.1,NPK,Flood,1154.0
Punjab,Kharif,Black,Wheat,256.6,16.6,44.5,6.8,0.51,74.5,65.7,48.6,Compost,Flood,2214.1
Karnataka,Kharif,Laterite,Rice,1624.9,31.2,78.0,5.7,1.22,120.6,47.4,38.6,Potash,Flood,4418.5
West Bengal,Kharif,Loamy,Jowar,563.8,25.4,83.1,6.74,1.21,138.8,37.8,59.5,Potash,Drip,1601.6
Uttar Pradesh,Kharif,Black,Sugarcane,2148.7,29.0,55.6,7.91,18.93,147.6,32.4,64.5,NPK,Flood,84910.1
Karnataka,Zaid,Laterite,Maize,612.2,23.3,81.0,6.82,7.11,32.2,39.7,69.0,NPK,Rain-fed,4192.5
Rajasthan,Rabi,Sandy,Cotton,1093.3,24.7,68.6,6.44,19.86,100.8,33.2,29.4,Potash,Rain-fed,375.0
Rajasthan,Rabi,Clay,Mustard,593.5,15.4,46.5,7.98,19.32,74.6,11.0,68.2,Urea,Rain-fed,824.7
Uttar Pradesh,Kharif,Clay,Barley,435.0,9.3,79.9,7.75,8.44,52.7,58.0,31.2,DAP,Flood,4024.9
Tamil Nadu,Zaid,Red,Rice,931.6,24.9,88.6,5.55,13.09,102.8,14.1,14.9,Potash,Sprinkler,3487.4
Haryana,Kharif,Clay,Wheat,611.0,17.4,40.9,6.93,16.16,43.7,49.1,37.4,Urea,Rain-fed,3838.5
Karnataka,Rabi,Red,Barley,685.3,8.7,81.9,7.92,17.73,68.1,60.0,60.1,Urea,Flood,2255.5
Karnataka,Rabi,Loamy,Mustard,297.2,12.2,61.6,8.45,18.91,26.0,23.4,40.4,Organic,Flood,1832.5
West Bengal,Zaid,Black,Soybean,1177.1,27.5,78.1,7.83,16.37,67.3,67.1,12.7,Potash,Flood,1647.8
Uttar Pradesh,Rabi,Clay,Jowar,700.1,34.8,57.9,7.71,13.88,74.6,56.0,12.3,NPK,Drip,1217.7
Punjab,Kharif,Laterite,Rice,1131.3,32.1,66.5,6.77,2.38,87.3,47.3,42.7,Organic,Flood,1916.6
Rajasthan,Zaid,Loamy,Groundnut,544.1,35.9,53.5,6.07,4.81,130.4,63.5,40.5,Urea,Flood,1176.7
Uttar Pradesh,Rabi,Red,Jowar,811.4,31.7,85.8,5.53,6.56,108.1,31.5,32.6,NPK,Sprinkler,1672.1
Karnataka,Rabi,Red,Soybean,603.8,22.4,69.1,7.44,16.02,68.7,55.0,72.9,Urea,Sprinkler,2308.7
Maharashtra,Kharif,Red,Rice,1561.3,25.8,61.2,5.51,3.74,97.5,38.6,40.1,DAP,Rain-fed,3371.1
Haryana,Rabi,Clay,Wheat,499.9,12.3,66.3,8.39,4.25,81.1,41.0,16.5,Urea,Flood,4606.8
Madhya Pradesh,Rabi,Loamy,Maize,640.5,20.3,89.8,7.38,17.62,109.1,72.3,16.4,Organic,Rain-fed,1914.5
Madhya Pradesh,Kharif,Alluvial,Soybean,826.0,23.7,52.0,7.26,15.05,133.6,60.9,47.3,DAP,Rain-fed,1045.9
Tamil Nadu,Kharif,Black,Soybean,819.4,20.7,82.8,6.57,13.58,128.2,14.8,30.7,Urea,Flood,2563.5
Karnataka,Zaid,Clay,Rice,1490.1,23.9,51.0,6.58,2.35,61.5,34.7,13.4,Organic,Rain-fed,1832.5
Haryana,Zaid,Black,Maize,535.9,29.0,57.1,6.15,11.0,80.7,32.1,50.7,DAP,Drip,5373.9
Madhya Pradesh,Zaid,Clay,Mustard,524.3,22.8,45.5,7.83,11.56,74.7,46.0,58.8,Urea,Sprinkler,1755.3
Haryana,Kharif,Black,Rice,1229.8,34.1,76.2,7.67,1.96,129.3,59.9,70.3,NPK,Drip,2994.4
Maharashtra,Zaid,Loamy,Wheat,376.1,15.3,46.1,8.46,11.47,145.7,19.8,48.1,Urea,Flood,4398.1
Haryana,Kharif,Red,Barley,568.2,20.6,59.8,6.76,2.67,111.5,50.8,73.2,Compost,Rain-fed,2275.1
Maharashtra,Kharif,Red,Jowar,492.9,24.7,62.3,5.51,17.2,78.1,77.7,75.8,Potash,Flood,938.0
West Bengal,Rabi,Loamy,Jowar,891.1,27.2,55.7,7.66,4.46,122.2,21.9,35.0,Urea,Rain-fed,1343.2
West Bengal,Rabi,Alluvial,Rice,1586.3,25.8,87.5,5.74,12.88,63.2,17.0,57.4,NPK,Rain-fed,2846.9
Punjab,Kharif,Laterite,Soybean,1030.6,29.5,92.6,5.79,10.82,83.7,18.5,77.1,NPK,Drip,1816.9
Maharashtra,Zaid,Loamy,Barley,678.2,20.4,79.4,6.91,5.05,145.8,70.2,74.1,NPK,Rain-fed,3642.4
West Bengal,Zaid,Laterite,Barley,580.5,21.3,84.3,7.61,17.46,95.7,36.3,15.1,NPK,Flood,1560.7
Karnataka,Kharif,Red,Cotton,718.5,33.5,76.8,5.88,10.14,25.1,24.9,42.5,Urea,Sprinkler,817.4
Haryana,Zaid,Clay,Jowar,637.8,33.2,68.7,6.73,1.04,107.8,57.6,60.7,Compost,Drip,2871.5
Rajasthan,Rabi,Loamy,Cotton,1182.5,26.9,75.1,8.27,9.73,25.0,73.0,28.4,Organic,Rain-fed,985.8
Andhra Pradesh,Rabi,Red,Sugarcane,2091.4,28.3,64.2,6.56,11.03,145.1,33.0,57.6,Potash,Rain-fed,101360.1
Uttar Pradesh,Rabi,Sandy,Cotton,966.5,28.9,88.8,8.08,3.8,67.3,58.0,44.5,Compost,Sprinkler,622.0
Maharashtra,Rabi,Laterite,Maize,666.7,25.6,80.4,6.99,3.23,35.8,14.7,69.5,Potash,Drip,4408.3
Punjab,Kharif,Laterite,Jowar,625.0,26.0,70.2,8.04,18.46,98.2,32.3,35.0,DAP,Rain-fed,2370.4
Madhya Pradesh,Kharif,Black,Barley,567.3,9.0,82.8,7.79,10.41,35.7,10.6,10.1,DAP,Drip,4861.6
Madhya Pradesh,Zaid,Black,Barley,439.1,13.8,43.9,7.13,14.17,116.2,48.4,63.7,DAP,Flood,4959.5
Rajasthan,Rabi,Black,Cotton,551.3,30.6,57.7,7.38,8.54,128.8,32.1,55.1,Potash,Rain-fed,859.2
Punjab,Kharif,Black,Soybean,1008.9,30.0,65.8,6.17,14.0,135.3,34.8,38.0,Compost,Rain-fed,1439.5
Haryana,Zaid,Alluvial,Soybean,881.2,26.8,74.1,6.62,6.6,21.6,60.1,39.2,Compost,Drip,2344.9
West Bengal,Kharif,Sandy,Barley,279.2,13.9,80.3,7.03,19.59,47.4,59.3,32.0,Compost,Drip,2229.7
Madhya Pradesh,Zaid,Laterite,Maize,577.4,27.7,56.2,7.75,16.91,28.8,51.9,53.4,Organic,Flood,4459.6
West Bengal,Zaid,Loamy,Jowar,502.0,24.5,48.1,7.01,1.19,84.3,66.1,76.3,Potash,Drip,2373.1
Andhra Pradesh,Kharif,Sandy,Rice,1245.0,27.0,64.6,6.38,1.85,98.7,32.7,34.3,NPK,Drip,3905.0
Uttar Pradesh,Kharif,Red,Jowar,839.6,22.3,78.3,8.18,15.07,37.9,25.4,14.0,Potash,Drip,2497.0
Rajasthan,Rabi,Laterite,Barley,591.8,12.1,57.0,5.86,10.91,73.9,46.1,41.6,Compost,Flood,2593.5
Maharashtra,Kharif,Red,Rice,1212.4,32.3,76.4,6.65,11.21,80.5,33.3,67.7,Potash,Rain-fed,5090.6
West Bengal,Kharif,Loamy,Rice,1878.3,29.1,69.3,6.39,10.42,38.6,30.7,76.4,Organic,Rain-fed,3701.9
Punjab,Zaid,Alluvial,Cotton,964.8,31.7,89.6,8.38,8.94,84.9,25.9,23.2,DAP,Sprinkler,519.8
Rajasthan,Rabi,Clay,Wheat,335.3,22.3,87.2,8.42,4.6,116.3,23.2,50.6,Urea,Drip,4670.4
Tamil Nadu,Rabi,Loamy,Rice,1396.3,26.2,41.1,7.3,19.46,51.6,60.1,30.8,Potash,Drip,5309.5
West Bengal,Zaid,Alluvial,Mustard,476.1,21.3,74.0,6.37,1.2,68.9,22.5,37.1,Organic,Flood,1171.8
Punjab,Kharif,Laterite,Cotton,984.5,36.8,66.2,5.92,4.27,54.9,31.3,33.4,DAP,Flood,958.4
Punjab,Kharif,Alluvial,Mustard,219.8,16.6,40.7,8.26,6.18,116.3,18.0,31.9,Potash,Drip,1417.7
Haryana,Rabi,Alluvial,Cotton,553.8,22.7,94.2,5.76,5.75,73.9,50.9,13.4,Potash,Flood,787.9
Tamil Nadu,Zaid,Laterite,Mustard,236.7,19.3,84.9,6.3,3.28,147.6,10.8,45.3,Compost,Rain-fed,1699.2
Haryana,Kharif,Loamy,Soybean,670.0,27.7,44.2,5.65,6.47,112.3,10.3,29.9,Organic,Drip,995.0
Madhya Pradesh,Rabi,Loamy,Rice,1654.0,31.9,91.3,7.74,11.4,112.7,61.9,26.1,Organic,Sprinkler,4205.2
Madhya Pradesh,Kharif,Loamy,Cotton,801.0,35.7,89.0,6.9,6.67,51.7,72.0,30.7,Compost,Rain-fed,484.5
Maharashtra,Kharif,Clay,Sugarcane,1464.1,32.9,94.5,6.03,4.18,124.3,78.4,15.0,Organic,Sprinkler,65895.4
Andhra Pradesh,Rabi,Red,Wheat,516.3,17.8,44.9,8.29,5.47,140.0,44.3,38.8,NPK,Flood,3015.7
Andhra Pradesh,Zaid,Black,Sugarcane,1933.2,31.9,41.1,6.77,7.5,54.4,79.9,24.0,NPK,Rain-fed,72437.8
West Bengal,Zaid,Alluvial,Mustard,467.0,10.2,62.4,7.04,9.4,24.5,36.7,77.8,Organic,Drip,1394.9
Madhya Pradesh,Zaid,Loamy,Sugarcane,2303.2,35.1,55.5,7.95,5.88,125.6,41.5,37.4,Potash,Flood,74269.0
Karnataka,Rabi,Red,Mustard,393.4,10.5,77.4,5.75,13.7,28.4,28.0,26.6,NPK,Drip,2094.3
Tamil Nadu,Zaid,Clay,Jowar,695.8,29.6,56.4,7.03,5.47,70.5,61.2,25.0,Organic,Rain-fed,2306.5
Uttar Pradesh,Rabi,Red,Cotton,631.7,33.0,89.3,7.73,2.99,52.9,23.2,63.1,Urea,Rain-fed,1015.2
Karnataka,Kharif,Laterite,Barley,687.5,18.3,78.3,7.53,10.35,115.7,26.1,44.3,Organic,Rain-fed,4089.1
Haryana,Rabi,Sandy,Jowar,755.8,26.2,76.3,6.7,1.89,21.0,61.4,76.2,Potash,Sprinkler,1488.9
Haryana,Rabi,Loamy,Mustard,299.8,14.4,79.9,8.2,9.56,36.5,33.0,18.3,Potash,Rain-fed,1509.0
Rajasthan,Kharif,Black,Soybean,649.3,21.3,94.4,8.14,1.41,33.4,41.3,30.8,Urea,Rain-fed,1078.0
Karnataka,Zaid,Loamy,Mustard,476.6,13.3,81.1,7.57,14.3,108.2,46.8,24.4,Urea,Drip,1070.8
West Bengal,Kharif,Black,Cotton,687.8,22.8,61.9,6.29,11.13,118.7,66.0,59.4,NPK,Flood,359.8
Karnataka,Rabi,Sandy,Jowar,339.6,27.0,80.3,7.24,9.54,30.6,59.3,18.7,NPK,Sprinkler,1774.3
Karnataka,Kharif,Black,Jowar,818.4,26.7,75.4,5.55,7.89,107.2,42.0,22.1,Urea,Drip,1835.6
Tamil Nadu,Zaid,Clay,Maize,787.6,30.2,86.5,7.97,6.83,64.9,53.5,23.5,Compost,Rain-fed,2557.8
Andhra Pradesh,Rabi,Sandy,Cotton,837.6,30.2,41.6,5.59,7.49,139.5,24.0,14.6,Compost,Flood,554.6
Punjab,Rabi,Loamy,Sugarcane,1430.7,28.0,43.1,6.9,1.26,67.2,67.6,61.5,DAP,Flood,128581.8
West Bengal,Kharif,Sandy,Groundnut,583.3,23.0,82.1,5.88,11.34,116.1,75.5,10.0,Urea,Flood,1321.8
Rajasthan,Zaid,Laterite,Cotton,523.3,35.1,62.3,8.19,5.66,33.4,67.2,74.5,Compost,Drip,732.0
West Bengal,Kharif,Loamy,Maize,559.4,18.7,67.8,5.82,10.76,55.3,53.3,65.4,DAP,Flood,3758.4
Uttar Pradesh,Zaid,Loamy,Rice,1661.9,33.8,50.3,7.0,2.57,60.5,31.8,76.2,Organic,Sprinkler,3401.9
West Bengal,Kharif,Clay,Cotton,586.7,34.8,53.7,7.8,19.68,122.1,75.4,38.1,Urea,Flood,483.1
Tamil Nadu,Kharif,Red,Sugarcane,2490.5,36.6,66.2,6.0,15.28,115.4,38.0,28.8,NPK,Rain-fed,83001.2
Rajasthan,Zaid,Alluvial,Sugarcane,1307.6,28.1,46.7,7.02,17.37,33.8,44.4,61.3,Compost,Rain-fed,101771.3
Rajasthan,Zaid,Alluvial,Groundnut,420.2,26.2,48.3,6.61,6.38,82.9,68.7,27.0,Compost,Sprinkler,1955.1
Haryana,Kharif,Black,Maize,1118.8,27.0,83.1,8.49,15.38,110.9,39.6,32.0,Urea,Flood,3970.2
Haryana,Kharif,Red,Wheat,748.7,18.4,85.4,8.22,16.86,140.4,77.3,67.1,Urea,Sprinkler,4026.2
Punjab,Rabi,Clay,Mustard,279.7,18.7,64.6,6.5,4.47,64.3,77.6,54.7,Organic,Drip,1781.0
West Bengal,Kharif,Clay,Barley,410.5,9.3,82.9,8.4,7.78,73.0,46.6,61.9,Compost,Sprinkler,3366.8
Punjab,Zaid,Loamy,Soybean,1018.2,25.7,48.3,6.52,19.73,107.1,71.9,58.4,Organic,Drip,2341.1
Maharashtra,Zaid,Alluvial,Groundnut,427.3,28.6,62.7,5.87,7.63,117.6,11.4,37.0,DAP,Rain-fed,1726.1
Andhra Pradesh,Rabi,Clay,Soybean,733.5,26.3,49.4,5.93,2.48,36.0,12.9,33.3,Compost,Flood,2270.4
Karnataka,Zaid,Sandy,Barley,378.9,14.1,58.2,6.19,4.08,84.8,14.3,49.1,NPK,Drip,3344.6
Tamil Nadu,Kharif,Alluvial,Sugarcane,2286.3,32.3,83.2,6.38,7.02,71.9,16.1,32.5,Potash,Flood,77299.2
Uttar Pradesh,Zaid,Alluvial,Soybean,660.8,25.2,50.8,8.21,19.45,84.8,65.4,36.9,DAP,Drip,2021.0
Rajasthan,Zaid,Alluvial,Soybean,873.8,22.6,75.3,5.69,18.95,145.1,39.5,39.7,NPK,Drip,1109.9
Rajasthan,Zaid,Alluvial,Cotton,963.0,37.5,64.5,7.0,16.76,123.6,70.8,43.3,Compost,Sprinkler,842.9
West Bengal,Kharif,Clay,Soybean,695.7,24.7,69.3,6.48,7.18,68.2,64.7,48.6,DAP,Rain-fed,1749.6
Haryana,Kharif,Laterite,Soybean,1099.3,26.0,94.8,6.8,7.5,24.3,47.4,24.7,Compost,Flood,1679.6
Andhra Pradesh,Zaid,Clay,Cotton,936.7,28.2,60.2,6.04,16.02,145.3,66.1,39.4,NPK,Drip,955.9
Maharashtra,Kharif,Loamy,Groundnut,432.6,30.6,51.5,7.97,13.06,137.1,57.3,42.8,DAP,Sprinkler,1542.3
Uttar Pradesh,Rabi,Laterite,Maize,1039.6,18.5,49.6,7.31,2.85,117.1,71.2,50.8,NPK,Sprinkler,3570.5
West Bengal,Kharif,Sandy,Mustard,574.9,16.0,88.6,6.49,13.55,142.4,21.2,40.0,Potash,Rain-fed,822.0
Maharashtra,Kharif,Alluvial,Mustard,539.9,15.3,55.5,8.32,6.34,25.7,27.7,28.2,Compost,Drip,1926.4
Tamil Nadu,Kharif,Clay,Soybean,718.4,21.0,93.6,6.24,9.88,28.1,47.2,57.1,DAP,Sprinkler,2622.1
Rajasthan,Rabi,Black,Soybean,1159.2,24.6,47.3,7.64,10.84,147.2,60.2,23.7,Compost,Flood,2542.4
Haryana,Rabi,Red,Rice,1277.8,30.6,51.8,6.15,1.68,58.1,22.1,60.0,Potash,Flood,2849.0
Maharashtra,Zaid,Black,Groundnut,564.6,31.1,41.7,6.72,3.87,65.9,28.3,35.2,NPK,Drip,1594.9
West Bengal,Rabi,Loamy,Groundnut,684.0,34.1,41.2,6.41,9.32,144.2,70.3,12.1,Urea,Rain-fed,1338.1
Andhra Pradesh,Kharif,Clay,Jowar,338.2,22.7,86.4,7.22,7.09,47.6,33.6,45.3,Organic,Sprinkler,1694.7
Rajasthan,Rabi,Alluvial,Sugarcane,2222.9,27.5,85.0,6.74,16.17,131.5,51.2,59.0,Compost,Drip,79222.8
Haryana,Kharif,Red,Groundnut,632.9,23.4,75.5,6.71,8.56,76.5,51.1,23.1,Potash,Sprinkler,1308.4
